"O‘zbekiston Respublikasi AKT xizmatlari eksporti/ Ўзбекистон Республикаси АКТ хизматлари экспоти/
Экспорт услуг ИКТ Республики Узбекистан/ Export of ICT services of the Republic of Uzbekistan",,,,,,,,,,,,,,,,,,,,
"ming.AQSH.doll./минг АҚШ долл./тыс.долл.США/thousand US dollar",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"TIFTN kodi/
ТИФТН коди/
Код ТНВЭД/ 
HS code",Nomi,Номи,Наименование,Name,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,,,
9909010000,"Telekommunikatsiya xizmatlari","Телекоммуникация хизматлари","Телекоммуникационные услуги","Telecommunication services",69356.896,130749.383,216079.1975,198238.1018,197870.3265,152338.4912,141112.9198,143168.727,150592.7439,156677.0635499,151749.5586526,156156.3190965,180491.2846827,,,
9909021000,"Kompyuter dasturlash xizmatlari","Компьютер дастурлаш хизматлари","Компьютерное программное обеспечение","Computer software",-,-,-,-,-,-,-,-,806.07,701.0074011,5798.58445,4778.24093,56426.4923251,,,
9909022000,"Boshqa kompyuter xizmatlari","Бошқа компьютер хизматлари","Прочие компьютерные услуги","Other computer services",1161.5,459.608,1958.495,2273.659,3165.425,2563.049,4504.849,5623.3653,6229.1877,8044.1552441,8313.62796,7539.09385,40495.3874755,,,
9909031000,"Axborot agentligi xizmatlari","Ахборот агентлиги хизматлари","Услуги информационных агентств","Information agency services",-,-,-,-,-,-,-,-,-,85.3,-,-,-,,,
9909032000,"Boshqa axborot xizmatlari","Бошқа ахборот хизматлари","Прочие информационные услуги","Other information services",1910.028,4114.056,5508.7049,3767.637,2782.455,1987.1076,1884.7876,1857.9912,2057.3336,1988.82012,3648.9011845,12265.74536,28384.9546165,,,
,,,,,,,,,,,,,,,,,,,,
